Ano de exibição;Título da Obra;Gênero;Empresa Distribuidora
2021;Espíritos Obscuros;Ficção;Disney
2021;Eternos;Ficção;Disney
2021;Free Guy: Assumindo O Controle;Ficção;Disney
2021;Jungle Cruise;Ficção;Disney
2021;Nomadland;Ficção;Disney
2021;O Mensageiro Do Último Dia;Ficção;Disney
2021;O Último Duelo;Ficção;Disney
2021;Raya E O Último Dragão;Animação;Disney
2021;Ron Bugado;Animação;Disney
2021;Shang-Chi E A Lenda Dos Dez Aneis;Ficção;Disney
2021;The Night House;Ficção;Disney
2021;Viúva Negra;Ficção;Disney
2022;A Jaula;Ficção;Disney
2022;Abestalhados 2;Ficção;Disney
2022;Amsterdam;Ficção;Disney
2022;Avatar: O Caminho Da Água;Ficção;Disney
2022;Dissonantes;Ficção;Disney
2022;Doutor Estranho No Multiverso Da Loucura;Ficção;Disney
2022;Ela E Eu;Ficção;Disney
2022;Incompatível;Ficção;Disney
2022;King'S Man: A Origem;Ficção;Disney
2022;Lightyear;Animação;Disney
2022;Minha Familia Perfeita;Ficção;Disney
2022;Morte No Nilo;Ficção;Disney
2022;Mundo Estranho;Animação;Disney
2022;O Beco Do Pesadelo;Ficção;Disney
2022;O Menu;Ficção;Disney
2022;Pacified;Ficção;Disney
2022;Pantera Negra: Wakanda Para Sempre;Ficção;Disney
2022;Quatro Amigas Numa Fria;Ficção;Disney
2022;Summer Of Soul (...Ou, Quando A Revolução Não Pôde Ser Televisionada);Documentário;Disney
2022;Thor: Amor E Trovão;Ficção;Disney
2022;Vale Night;Ficção;Disney
