Ano de exibição;Título da Obra
2012;A Tentação
2012;A Toda Prova
2012;A Última Casa Da Rua
2012;A Velha Dos Fundos
2012;A Vida De Outra Mulher
2012;A Vida Dos Peixes
2012;A Vida Em Um Dia
2012;Abraham Lincoln: Caçador De Vampiros
2012;Adorável Pivellina
2012;Albert Nobbs
2012;Além Da Liberdade
2012;Alvin E Os Esquilos 3
2012;American Pie: O Reencontro
2012;Americano
2012;Amor E Dor
2012;Amor Em Pedaços
2012;Amor Em Trânsito
2012;Amor Impossível
2012;Anderson Silva: Como Água
2012;Anjos Da Lei
2012;Anjos Da Noite – O Despertar
2012;Antônio Conselheiro – O Taumaturgo Dos Sertões
2012;Apenas Uma Noite
2012;Aqui É O Meu Lugar
2012;Área Q
2012;Argo
2012;Argus Montenegro E A Instabilidade Do Tempo Forte
2012;Armadilha
2012;As Aventuras De Agamenon, O Repórter
2012;As Aventuras De Pi
2012;As Aventuras De Tintim: O Segredo Do Licorne
2012;As Flores De Kirkuk
2012;As Idades Do Amor
2012;As Mulheres Do Sexto Andar
2012;As Neves Do Kilimanjaro
2012;As Palavras
2012;As Quatro Voltas
2012;As Vantagens De Ser Invisível
2012;Astro – Uma Fábula Urbana Em Um Rio De Janeiro Mágico
2012;Ataque Ao Prédio
2012;Até A Eternidade
2012;Até Que A Sorte Nos Separe
2012;Atividade Paranormal 4
2012;Ato De Coragem
2012;Azul Profundo
2012;Batman: O Cavaleiro Das Trevas Ressurge
2012;Battleship - A Batalha Dos Mares
2012;Beaufort
2012;Bel Ami
2012;Beleza Adormecida
2012;Bem Amadas
2012;Billi Pig
2012;Boca
2012;Branca De Neve E O Caçador
2012;Branco Como A Neve
2012;Brichos Ii - A Floresta É Nossa
2012;Bullying
2012;Busca Implacável 2
2012;Cada Um Tem A Gêmea Que Merece
2012;Cairo 678
2012;Cara Ou Coroa
2012;Cavalo De Guerra
2012;Celeste E Jesse Para Sempre
2012;Chernobyl
2012;Circular
2012;Clementina De Jesus - Rainha Quelé
2012;Cocoricó Conta Clássicos
2012;Como Agarrar Meu Ex-Namorado
2012;Conspiração Americana
2012;Constantino
2012;Construção
2012;Contos Gauchescos
2012;Coração Do Samba
2012;Corações Sujos
2012;Cosmópolis
2012;Curitiba Zero Grau
2012;Curvas Da Vida
2012;De Pernas Pro Ar 2
2012;De Volta Para Casa
2012;Deus Da Carnificina
2012;Dia De Preto
2012;Diário De Um Banana - Dias De Cão
2012;Diário De Um Jornalista Bêbado
2012;Dino Cazzola - Uma Filmografia De Brasília
2012;Disparos
2012;Dois Coelhos
2012;Dredd
2012;Drive
2012;E A Vida Continua
2012;E Agora, Aonde Vamos?
2012;E Aí, Comeu?
2012;E Se Vivêssemos Todos Juntos?
2012;Elefante Branco
2012;Elles
2012;Em Nome De Deus
2012;Entre O Amor E A Paixão
2012;Era Uma Vez Eu, Verônica
2012;Espelho, Espelho Meu
2012;Espia Só
2012;Eu Receberia As Piores Notícias Dos Seus Lindos Lábios
2012;Expedicionários
2012;Fanaa
2012;Fausto
2012;Febre Do Rato
2012;Filha Do Mal
2012;Flor Da Neve E O Leque Secreto
2012;Flores Do Oriente
2012;Frankenweenie
2012;Fúria De Titãs 2
2012;Futuro Do Pretérito: Tropicalismo Now!
2012;Girimunho
2012;Gonzaga - De Pai Para Filho
2012;Guerra É Guerra!
2012;Habemus Papam
2012;Hahaha
2012;Hasta La Vista
2012;Headhunters
2012;Heleno
2012;Histeria
2012;Histórias Cruzadas
2012;Histórias Que Só Existem Quando Lembradas
2012;Holy Motors
2012;Homens De Preto 3
2012;Hotel Transilvânia
2012;Hotxuá
2012;Ibitipoca, Droba Pra Lá
2012;Infância Clandestina
2012;Intocáveis
2012;J. Edgar
2012;Jogos Vorazes
2012;John Carter: Entre Dois Mundos
2012;Jovens Adultos
2012;Juntos Para Sempre
2012;Kaboom
2012;Katy Perry: Part Of Me
2012;L’Apollonide – Os Amores Da Casa De Tolerância
2012;Laurence Anyways
2012;Liv & Ingmar – Uma História De Amor
2012;Livres Por Natureza
2012;Lola (2012)
2012;Looper - Assassinos Do Futuro
2012;Luto Em Luta
2012;Luz Nas Trevas - A Volta Do Bandido Da Luz Vermelha
2012;Madagascar 3: Os Procurados
2012;Mãe E Filha
2012;Magic Mike
2012;Marcados Para Morrer
2012;Marcelo Yuka No Caminho Das Setas
2012;Marighella
2012;Memórias De Xangai
2012;Menos Que Nada
2012;Meu Primeiro Casamento
2012;Millennium - Homens Que Não Amavam As Mulheres
2012;Minha Felicidade
2012;Minha Irmã
2012;Mistérios De Lisboa
2012;Moonrise Kingdom
2012;Movimento Browniano
2012;Muito Além Do Peso
2012;Mulher À Tarde
2012;My Way, O Mito Além Da Música
2012;Na Estrada - On The Road
2012;Na Terra De Amor E Ódio
2012;No
2012;Nota De Rodapé
2012;O Abrigo
2012;O Artista
2012;O Contestado – Restos Mortais
2012;O Corvo
2012;O Despertar
2012;O Diário De Tati
2012;O Ditador
2012;O Espetacular Homem-Aranha
2012;O Espião Que Sabia Demais
2012;O Exercício Do Poder
2012;O Exótico Hotel Marigold
2012;O Gato Do Rabino
2012;O Grande Milagre
2012;O Hobbit: Uma Jornada Inesperada
2012;O Homem Da Máfia
2012;O Homem Que Mudou O Jogo
2012;O Homem Que Não Dormia
2012;O Impossível
2012;O Ladrão De Luz
2012;O Legado Bourne
2012;O Liberdade
2012;O Lorax - Em Busca Da Trúfula Perdida
2012;O Manuscrito Perdido
2012;O Mar Não Está Pra Peixe: Tubarões À Vista
2012;O Moinho E A Cruz
2012;O Monge
2012;O Motoqueiro Fantasma 2
2012;O Olhar Invisível
2012;O Pacto
2012;O Porto
2012;O Príncipe Do Deserto
2012;O Que Esperar Quando Você Está Esperando
2012;O Que Eu Mais Desejo
2012;O Vendedor
2012;O Vingador Do Futuro
2012;Oliver Sherman
2012;Onde A Coruja Dorme
2012;Os Acompanhantes
2012;Os Candidatos
2012;Os Descendentes
2012;Os Infiéis
2012;Os Infratores
2012;Os Mercenários 2
2012;Os Penetras
2012;Os Vingadores - The Avengers
2012;Outback- Uma Galera Animal
2012;Para Roma Com Amor
2012;Para Sempre
2012;Paraísos Artificiais
2012;Paralelo 10
2012;Paranorman
2012;Peixonauta - Agente Secreto Da O.S.T.R.A
2012;Pequenos Espiões 4
2012;Pina
2012;Piratas Pirados!
2012;Plano De Fuga
2012;Poder Paranormal
2012;Poder Sem Limites
2012;Polissia
2012;Ponto Org
2012;Possessão
2012;Precisamos Falar Sobre O Kevin
2012;Procura-Se Um Amigo Para O Fim Do Mundo
2012;Projeto Dinossauro
2012;Projeto X – Uma Festa Fora De Controle
2012;Prometheus
2012;Protegendo O Inimigo
2012;Qual O Nome Do Bebê?
2012;Quatro Amigas E Um Casamento
2012;Quem Se Importa?
