Ano de Lançamento, 1983.. O Ano Azul 
2009, Transformers: A Vingança Dos Derrotados 
2009, Um Ato De Liberdade 
2009, Um Cara Muito Louco...Apaixonado 
2009, Um Faz De Conta Que Acontece 
2009, Um Homem De Moral 
2009, Um Hotel Bom Pra Cachorro 
2009, Um Lobisomem Na Amazônia 
2009, Um Namorado Para Minha Esposa 
2009, Um Romance De Geração 
2009, Um Segredo Em Família 
2009, Um Taxi Para A Escuridão 
2009, Uma Canção De Amor 
2009, Uma Noite No Museu 2 
2009, Uma Prova De Amor 
2009, Uma Vida Sem Regras 
2009, Up - Altas Aventuras 
2009, Valsa Com Bashir 
2009, Vamos Subir, Leão 
2009, Velhas Guardas 
2009, Velozes E Furiosos 4 
2009, Verônica 
2009, Verônika Decide Morrer 
2009, Vigaristas 
2009, Vila 21 
2009, Vitus 
2009, Vocês, Os Vivos 
2009, W. 
2009, Waldick, Sempre No Meu Coração 
2009, Watchmen - O Filme 
2009, X-Men Origens: Wolverine 
2009, Xuxa Em O Mistério De Feiurinha 
2009, Zico Na Rede 
2009, 15 Anos E Meio 
2010, 3 Homens E Uma Noite Fria 
2010, 400 Contra 1 – A História Do Comando Vermelho 
2010, 5X Favela – Agora Por Nós Mesmos 
2010, 72 Horas 
2010, A Alma Do Osso 
2010, A Bruxinha E O Dragão 
2010, A Caixa 
2010, A Casa Verde 
2010, A Epidemia 
2010, A Estrada 
2010, A Falta Que Me Faz 
2010, A Fita Branca 
2010, A Guerra Dos Vizinhos 
2010, A Hora Do Pesadelo 
2010, A Jovem Rainha Vitória 
2010, A Lenda Dos Guardiões 
2010, A Mente Que Mente 
2010, À Moda Da Casa 
2010, A Origem 
2010, À Prova De Morte 
2010, A Rede Social 
2010, A Ressaca 
2010, A Riviera Não É Aqui 
2010, A Saga Crepúsculo: Eclipse 
2010, A Sétima Alma 
2010, A Suprema Felicidade 
2010, A Todo Volume 
2010, A Última Música 
2010, A Vida Durante A Guerra 
2010, Abutres 
2010, Acácio 
2010, Ah... O Amor! 
2010, Alice No País Das Maravilhas 
2010, Almas À Venda 
2010, Alvin E Os Esquilos 2 
2010, Amélia 
2010, Amor À Distância 
2010, Amor Extremo 
2010, Amor Por Acaso 
2010, Amor Por Contrato 
2010, Amor Sem Escalas 
2010, Antes Da Lua Cheia 
2010, Antes Que O Mundo Acabe 
2010, Ao Sul Da Fronteira 
2010, Ao Sul De Setembro 
2010, Aparecida, O Milagre 
2010, Aproximação 
2010, Aquarela - As Cores De Uma Paixão 
2010, As Cartas Psicografadas Por Chico Xavier 
2010, As Crônicas De Nárnia: A Viagem Do Peregrino Da Alvorada 
2010, As Melhores Coisas Do Mundo 
2010, As Múmias Do Faraó 
2010, Astro Boy 
2010, Atividade Paranormal 2 
2010, Atração Perigosa 
2010, Atraídos Pelo Crime 
2010, Avatar: Edição Especial 
2010, B1 - Tenório Em Pequim 
2010, Baaria - A Porta Do Vento 
2010, Batalha Por T.E.R.A. 
2010, Bellini E O Demônio 
2010, Brilho De Uma Paixão 
2010, Cabeça A Prêmio 
2010, Caçador De Recompensas 
2010, Cadê Os Morgans 
2010, Caro Francis 
2010, Carros Usados, Vendedores Pirados 
2010, Cartas Para Julieta 
2010, Caso 39 
2010, Centurião 
2010, Cheri 
2010, Chico Xavier 
2010, Cidade De Plástico 
2010, Cildo 
2010, Coco Chanel & Igor Stravinsky 
2010, Coincidências Do Amor 
2010, Comer, Rezar E Amar 
2010, Como Cães E Gatos 2 – A Vingança De Kitty Galore 
2010, Como Esquecer 
2010, Como Treinar Seu Dragão 
2010, Confusões Em Família 
2010, Contatos De 4º Grau 
2010, Contos Da Era Dourada 
2010, Coração Louco 
2010, Criação 
2010, Cyrus 
2010, Demônio 
2010, Depois De Ontem, Antes De Amanhã 
2010, Desejo E Poder 
2010, Destinos Ligados 
2010, Deu A Louca Nos Bichos 
2010, Diário Perdido 
2010, Direito De Amar 
2010, Doce Brasil Holandês 
2010, Dois Irmãos 
2010, Dupla Implacável 
2010, Dzi Croquettes 
2010, Educação 
2010, Elevado 3.5 
2010, Elza 
2010, Em Busca De Uma Nova Chance 
2010, Em Teu Nome 
2010, Encontro Explosivo 
2010, Enfim Viúva 
2010, Enterrado Vivo 
2010, Entre Irmãos 
2010, Esquadrão Classe A 
2010, Eu E Meu Guarda-Chuva 
2010, Eu Matei Minha Mãe 
2010, Federal 
2010, Filme Socialismo 
2010, Flor Do Deserto 
2010, Fluidos 
2010, Fúria De Titãs 
2010, Garfield 3D - Um Super Herói Animal 
2010, Gente Grande 
2010, Godard, Truffaut E A Nouvelle Vague 
2010, Grêmio 10X0 
2010, Guerra Ao Terror 
2010, Halloween 2 
2010, Harry Potter E As Relíquias Da Morte - Parte 1 
2010, High School Musical - O Desafio 
2010, Histórias De Amor Duram Apenas 90 Minutos 
2010, Homens Em Fúria 
2010, Homens Que Encaravam Cabras 
2010, Idas E Vindas Do Amor 
2010, Ilha Do Medo 
2010, Índia, Amor E Outras Delícias 
2010, Insolação 
2010, Instinto De Vingança 
2010, Invictus 
2010, Jackass 3D 
2010, Jards Macalé - Um Morcego Na Porta Principal 
2010, Jogos Mortais - O Final 
2010, José E Pilar 
2010, Juntos Pelo Acaso 
2010, Karate Kid 
2010, Kick-Ass - Quebrando Tudo 
2010, Lembranças 
2010, Léo E Bia 
2010, Lissi E O Reino Dos Birutas 
2010, London River - Destinos Cruzados 
2010, Lula, O Filho Do Brasil 
2010, Luto Como Mãe 
2010, Luzes Na Escuridão 
2010, Machete 
2010, Mademoiselle Chambon 
2010, Mais Que O Máximo 
2010, Maré De Azar 
2010, Marmaduke 
2010, Mary E Max - Uma Amizade Diferente 
2010, Megamente 
2010, Meu Malvado Favorito 
2010, Meu Mundo Em Perigo 
2010, Micmacs - Um Plano Complicado 
2010, Minha Terra, África 
2010, Minhas Mães E Meu Pai 
2010, Missão Quase Impossível 
2010, Morgue Story - Sangue, Baiacu E Quadrinhos 
2010, Moscou, Bélgica 
2010, Mother - A Busca Pela Verdade 
2010, Muita Calma Nessa Hora 
2010, Nanny Mcphee E As Lições Mágicas 
2010, Não, Minha Filha, Você Não Irá Dançar 
2010, Napoli Napoli Napoli 
2010, Netto E O Domador De Cavalos 
2010, Nine 
2010, Ninja Assassino 
2010, No Meio Do Mundo 
2010, Nos Embalos Da Disco 
2010, Nosso Lar 
2010, O Abraço Corporativo 
2010, O Amor Acontece 
2010, O Amor Segundo B. Schianberg 
2010, O Aprendiz De Feiticeiro 
2010, O Bem Amado 
2010, O Bom Coração 
2010, O Ciúme Mora Ao Lado 
2010, O Concerto 
2010, O Escritor Fantasma 
2010, O Estranho Em Mim 
2010, O Estudante (2010) 
2010, O Fada Do Dente 
2010, O Fim Da Escuridão 
2010, O Garoto De Liverpool 
2010, O Golpista Do Ano 
2010, O Grão 
2010, O Homem De Ferro 2 
2010, O Homem Que Engarrafava Nuvens 
2010, O Inferno De Henri-Georges Clouzot 
2010, O Livro De Eli 
2010, O Lobisomem 
2010, O Louco Amor De Yves Saint Laurent 
2010, O Mensageiro (2010) 
2010, O Mundo Encantado De Gigi 
2010, O Mundo Imaginário Do Dr. Parnassus 
2010, O Pecado De Hadewijch 
2010, O Pequeno Nicolau 
2010, O Preço Da Traição 
2010, O Profeta 
2010, O Que Resta Do Tempo 
2010, O Refúgio 
2010, O Segredo Dos Seus Olhos 
2010, O Sol Do Meio-Dia 
2010, O Solteirão 
2010, O Último Exorcismo 
2010, O Último Mestre Do Ar 
2010, Oceanos 
2010, Olhos Azuis 
2010, Onde Vivem Os Monstros 
2010, Ondine 
2010, Os Estados Unidos Contra John Lennon 
2010, Os Famosos E Os Duendes Da Morte 
2010, Os Homens Que Não Amavam As Mulheres 
2010, Os Inquilinos 
2010, Os Mercenários 
2010, Os Outros Caras 
2010, Os Vampiros Que Se Mordam 
2010, Pachamama 
2010, Pandorum 
2010, Pânico Na Neve 
2010, Par Perfeito 
2010, Patrick 1.5 
2010, Pecado Da Carne 
2010, Pecados Do Meu Pai 
2010, Percy Jackson E O Ladrão De Raios 
2010, Piranha 3D 
2010, Plano B 
2010, Ponyo – Uma Amizade Que Veio Do Mar 
2010, Preciosa: Uma História De Esperança 
2010, Predadores 
2010, Premonição 4 
2010, Príncipe Da Pérsia: As Areias Do Tempo 
2010, Procurando Elly 
2010, Programa Casé – O Que A Gente Não Inventa, Não Existe 
2010, Quando Me Apaixono 
2010, Querido John 
2010, Quincas Berro D'Água 
2010, Rec 2 
2010, Red - Aposentados E Perigosos 
2010, Reflexões De Um Liquidificador 
2010, Resident Evil 4: Recomeço 
2010, Rita Cadillac, A Lady Do Povo 
2010, Robin Hood 
2010, Salt 
2010, Scott Pilgrim Contra O Mundo 
2010, Sede De Sangue 
2010, Segurança Nacional 
2010, Sempre Bela 
2010, Senna 
2010, Sentimento De Culpa 
2010, Sex And The City 2 
2010, Sherlock Holmes 
2010, Shrek Para Sempre 
2010, Simplesmente Complicado 
2010, Skyline - A Invasão 
2010, Só Dez Por Cento É Mentira 
2010, Soberano – Seis Vezes São Paulo 
2010, Solo 
2010, Solomon Kane - O Caçador De Demônios 
2010, Sonhos Roubados 
2010, Soul Kitchen 
2010, Supremacia Vermelha 
2010, Surpresa Em Dobro 
2010, Terra Deu, Terra Come 
2010, Terras 
2010, Tetro 
2010, The Big Four 
2010, The Runaways - Garotas Do Rock 
2010, Todo Poderoso: O Filme - 100 Anos De Timão 
2010, Toy Story 3 
2010, Tron - O Legado 
2010, Tropa De Elite 2 
2010, Tudo Pode Dar Certo 
2010, Tulpan 
2010, Tyson 
2010, Um Doce Olhar 
2010, Um Homem Misterioso 
2010, Um Homem Que Grita 
2010, Um Homem Sério 
2010, Um Lugar Ao Sol 
2010, Um Mar De Aventuras 3D 
2010, Um Novo Caminho 
2010, Um Olhar Do Paraíso 
2010, Um Parto De Viagem 
2010, Um Quarto Em Roma 
2010, Um Sonho Possível 
2010, Uma Mãe Em Apuros 
2010, Uma Noite Em 67 
2010, Uma Noite Fora De Série 
2010, Utopia E Barbárie 
2010, Vencer 
2010, Viajo Porque Preciso, Volto Porque Te Amo 
2010, Vício Frenético 
2010, Vida Sobre Rodas 
2010, Vidas Que Se Cruzam 
2010, Virus 
2010, Vittorio De Sica – Minha Vida, Meus Amores 
2010, Você Vai Conhecer O Homem Dos Seus Sonhos 
