Ano de exibição;Título da Obra;Gênero
2009;Star Trek;Ficção
2009;Stella;Ficção
2009;Substitutos;Ficção
2009;Surpresas Do Amor;Ficção
2009;Te Amarei Para Sempre;Ficção
2009;Tempos De Paz;Ficção
2009;Terra Sonâmbula;Ficção
2009;Território Restrito;Ficção
2009;Terror Na Antártida;Ficção
2009;The Spirit - O Filme;Ficção
2009;Tinha Que Ser Você;Ficção
2009;Tokyo;Ficção
2009;Tony Manero;Ficção
2009;Topografia De Um Desnudo;Ficção
2009;Trama Internacional;Ficção
2009;Transformers: A Vingança Dos Derrotados;Ficção
2009;Um Ato De Liberdade;Ficção
2009;Um Cara Muito Louco...Apaixonado;Ficção
2009;Um Faz De Conta Que Acontece;Ficção
2009;Um Hotel Bom Pra Cachorro;Ficção
2009;Um Lobisomem Na Amazônia;Ficção
2009;Um Namorado Para Minha Esposa;Ficção
2009;Um Romance De Geração;Ficção
2009;Um Segredo Em Família;Ficção
2009;Uma Canção De Amor;Ficção
2009;Uma Noite No Museu 2;Ficção
2009;Uma Prova De Amor;Ficção
2009;Uma Vida Sem Regras;Ficção
2009;Velozes E Furiosos 4;Ficção
2009;Verônica;Ficção
2009;Verônika Decide Morrer;Ficção
2009;Vigaristas;Ficção
2009;Vila 21;Ficção
2009;Vitus;Ficção
2009;Vocês, Os Vivos;Ficção
2009;W.;Ficção
2009;Watchmen - O Filme;Ficção
2009;X-Men Origens: Wolverine;Ficção
2009;Xuxa Em O Mistério De Feiurinha;Ficção
2010;15 Anos E Meio;Ficção
2010;3 Homens E Uma Noite Fria;Ficção
2010;400 Contra 1 – A História Do Comando Vermelho;Ficção
2010;5X Favela – Agora Por Nós Mesmos;Ficção
2010;72 Horas;Ficção
2010;A Bruxinha E O Dragão;Ficção
2010;A Caixa;Ficção
2010;A Casa Verde;Ficção
2010;A Epidemia;Ficção
2010;A Estrada;Ficção
2010;A Fita Branca;Ficção
2010;A Guerra Dos Vizinhos;Ficção
2010;A Hora Do Pesadelo;Ficção
2010;A Jovem Rainha Vitória;Ficção
2010;A Mente Que Mente;Ficção
2010;À Moda Da Casa;Ficção
2010;A Origem;Ficção
2010;À Prova De Morte;Ficção
2010;A Rede Social;Ficção
2010;A Ressaca;Ficção
2010;A Riviera Não É Aqui;Ficção
2010;A Saga Crepúsculo: Eclipse;Ficção
2010;A Sétima Alma;Ficção
2010;A Suprema Felicidade;Ficção
2010;A Última Música;Ficção
2010;A Vida Durante A Guerra;Ficção
2010;Abutres;Ficção
2010;Ah... O Amor!;Ficção
2010;Alice No País Das Maravilhas;Ficção
2010;Almas À Venda;Ficção
2010;Amélia;Ficção
2010;Amor À Distância;Ficção
2010;Amor Extremo;Ficção
2010;Amor Por Acaso;Ficção
2010;Amor Por Contrato;Ficção
2010;Amor Sem Escalas;Ficção
2010;Antes Da Lua Cheia;Ficção
2010;Antes Que O Mundo Acabe;Ficção
2010;Ao Sul De Setembro;Ficção
2010;Aparecida, O Milagre;Ficção
2010;Aproximação;Ficção
2010;Aquarela - As Cores De Uma Paixão;Ficção
2010;As Crônicas De Nárnia: A Viagem Do Peregrino Da Alvorada;Ficção
2010;As Melhores Coisas Do Mundo;Ficção
2010;As Múmias Do Faraó;Ficção
2010;Atividade Paranormal 2;Ficção
2010;Atração Perigosa;Ficção
2010;Atraídos Pelo Crime;Ficção
2010;Avatar: Edição Especial;Ficção
2010;Baaria - A Porta Do Vento;Ficção
2010;Bellini E O Demônio;Ficção
2010;Brilho De Uma Paixão;Ficção
2010;Cabeça A Prêmio;Ficção
2010;Caçador De Recompensas;Ficção
2010;Cadê Os Morgans;Ficção
2010;Carros Usados, Vendedores Pirados;Ficção
2010;Cartas Para Julieta;Ficção
2010;Caso 39;Ficção
2010;Centurião;Ficção
2010;Cheri;Ficção
2010;Chico Xavier;Ficção
2010;Cidade De Plástico;Ficção
2010;Coco Chanel & Igor Stravinsky;Ficção
2010;Coincidências Do Amor;Ficção
2010;Comer, Rezar E Amar;Ficção
2010;Como Cães E Gatos 2 – A Vingança De Kitty Galore;Ficção
2010;Como Esquecer;Ficção
2010;Confusões Em Família;Ficção
2010;Contatos De 4º Grau;Ficção
2010;Contos Da Era Dourada;Ficção
2010;Coração Louco;Ficção
2010;Criação;Ficção
2010;Cyrus;Ficção
2010;Demônio;Ficção
2010;Desejo E Poder;Ficção
2010;Destinos Ligados;Ficção
2010;Deu A Louca Nos Bichos;Ficção
2010;Diário Perdido;Ficção
2010;Direito De Amar;Ficção
2010;Dois Irmãos;Ficção
2010;Dupla Implacável;Ficção
2010;Educação;Ficção
2010;Em Busca De Uma Nova Chance;Ficção
2010;Em Teu Nome;Ficção
2010;Encontro Explosivo;Ficção
2010;Enfim Viúva;Ficção
2010;Enterrado Vivo;Ficção
2010;Entre Irmãos;Ficção
2010;Esquadrão Classe A;Ficção
2010;Eu E Meu Guarda-Chuva;Ficção
2010;Eu Matei Minha Mãe;Ficção
2010;Federal;Ficção
2010;Filme Socialismo;Ficção
2010;Flor Do Deserto;Ficção
2010;Fluidos;Ficção
2010;Fúria De Titãs;Ficção
2010;Gente Grande;Ficção
2010;Guerra Ao Terror;Ficção
2010;Halloween 2;Ficção
2010;Harry Potter E As Relíquias Da Morte - Parte 1;Ficção
